‎[06.08.24, 08:42:27] Emmanuel: ‎audio omitted
[29.03.25, 21:40:51] Emmanuel: Schelte
[29.03.25, 21:41:01] Emmanuel: Schwöre ist schon sehr interessant
[29.03.25, 21:42:30] Phil: ja man
‎[29.03.25, 22:56:03] Emmanuel: ‎image omitted
‎[29.03.25, 22:56:03] Emmanuel: ‎image omitted
‎[29.03.25, 22:56:28] Emmanuel: ‎image omitted
‎[29.03.25, 22:56:28] Emmanuel: ‎image omitted
‎[29.03.25, 22:56:46] Emmanuel: ‎image omitted
‎[29.03.25, 22:57:14] Emmanuel: ‎image omitted
‎[29.03.25, 22:57:18] Emmanuel: ‎image omitted
‎[29.03.25, 22:57:44] Emmanuel: ‎image omitted
‎[29.03.25, 22:57:49] Emmanuel: ‎image omitted
[29.03.25, 23:06:47] Phil: interessante Unterhaltung
[29.03.25, 23:06:59] Phil: Finde auch deine Art zu denken interessant
[29.03.25, 23:07:08] Phil: muss mich darauf erst noch einstellen
[29.03.25, 23:55:37] Emmanuel: ‎This message was deleted.
[29.03.25, 23:55:54] Emmanuel: ‎This message was deleted.
[30.03.25, 10:34:43] Phil: Jo willst du mein Zimmer? 
Die Myailla wills doch nicht 😂
[30.03.25, 10:35:14] Phil: Würde aber um ehrlich zu sein warten bis Jonas was wegen seiner Wohnung sagt
[30.03.25, 11:22:46] Emmanuel: Ok, aber wie viel kostet das nochmal? Aber wurde auch auf Jonas warten
[30.03.25, 11:51:37] Phil: 700
[30.03.25, 11:51:48] Phil: wird ab Sommer aber weniger
‎[30.03.25, 11:56:03] Emmanuel: ‎audio omitted
‎[30.03.25, 12:03:13] Phil: ‎image omitted
[30.03.25, 12:03:34] Phil: Dann wird die Miete auf die Originalmiete zurückgesetzt
[30.03.25, 12:03:38] Phil: ich bin ja untermiete
[30.03.25, 12:22:21] Emmanuel: Ja aber im Sommer kannst du die Wohnung haben?
[30.03.25, 12:22:35] Emmanuel: Crazy süß
[30.03.25, 12:22:47] Phil: Jo dann nimmt die mich in ihren Vertrag auf
[30.03.25, 12:23:01] Phil: Anders kann man die Wohnung nicht überschreiben
[30.03.25, 12:23:02] Emmanuel: Geil
[30.03.25, 12:23:12] Phil: Bzw die Person die danach halt die Wohnung will
[30.03.25, 12:23:21] Emmanuel: Puhh dann solltest du eig erstmal behalten
[30.03.25, 12:23:32] Emmanuel: Um den fvertrag zu kriegen und weiterzugeben
[30.03.25, 12:23:34] Phil: Und untervermieten oder wie?
[30.03.25, 12:23:40] Emmanuel: Ja genau
[30.03.25, 12:23:55] Phil: Jo klingt gut
[30.03.25, 12:24:01] Phil: stell die Wohnung die Tage auf Slack
[30.03.25, 12:25:32] Phil: die ist einfach 50
[30.03.25, 12:25:46] Emmanuel: Ehrlich krass
[30.03.25, 12:25:51] Emmanuel: Woher
[30.03.25, 12:26:11] Phil: Hat meine Tante von ihrem Freund bekommen als sie 18 war 😄
[30.03.25, 12:26:19] Phil: Jetzt ist sie 62 haha
[30.03.25, 12:26:24] Emmanuel: Krass
[30.03.25, 12:26:30] Emmanuel: Holst du
[30.03.25, 12:26:50] Emmanuel: Will sie ihn fir 50 verkaufen
[30.03.25, 12:26:50] Phil: Nach Berlin?
[30.03.25, 12:27:00] Phil: Ne die bleibt hier haha
[30.03.25, 12:27:07] Emmanuel: Hahah schade
[30.03.25, 12:27:12] Phil: Ist ein Familientier hah
[30.03.25, 12:27:36] Emmanuel: Aww süß
[30.03.25, 13:03:22] Emmanuel: https://www.linkedin.com/posts/akshay-pachaar_turn-any-github-repository-into-a-visual-ugcPost-7311732699453366273-XWo8?utm_source=share&utm_medium=member_ios&rcm=ACoAAD9bGfwByGE7SOWrHElemTLxEJEd42UIwLs
[30.03.25, 13:17:20] Emmanuel: ‎Voice call. ‎Answered on other device
[30.03.25, 14:49:06] Phil: jo hab die CORS raus
[30.03.25, 14:49:25] Phil: hab nicht gecheckt was für ein Pain das beim coden ist
[30.03.25, 14:57:50] Emmanuel: Hmm was meinst du mit Cord?
[30.03.25, 14:57:58] Emmanuel: Cors
[30.03.25, 14:58:32] Phil: Das ist das was verhindert dass man von Lokal auf das Backend zugreifen kann
[30.03.25, 14:59:12] Emmanuel: Ahh ok crazy
[30.03.25, 16:45:58] Phil: ‎You deleted this message.
[30.03.25, 16:46:08] Phil: ‎You deleted this message.
[30.03.25, 21:17:15] Phil: habs zurückgesetzt
[30.03.25, 21:17:21] Phil: sollte wieder funktionieren
[30.03.25, 21:23:51] Emmanuel: Ok ich Checks hab
[31.03.25, 09:00:39] Emmanuel: https://minompi.medium.com/8-code-reviews-tips-and-tricks-d5791fd4fefe
[31.03.25, 10:14:06] Phil: Jo kannst du mir bei meiner Outlier Bewerbung helfen?
[31.03.25, 10:18:00] Emmanuel: ‎Voice call. ‎Answered on other device
[31.03.25, 10:20:26] Phil: https://outlier.ai/
[31.03.25, 10:23:03] Phil: und sag einfach bescheid wenns später wird
[31.03.25, 10:23:11] Emmanuel: Mach ich
[31.03.25, 12:11:55] Phil: jo joine 12:45
[31.03.25, 12:46:49] Phil: ‎Voice call. ‎No answer
[31.03.25, 21:12:14] Phil: Jo PR ist raus
[31.03.25, 21:12:43] Phil: So war viiiieeeel besser
[31.03.25, 21:13:14] Phil: Dass ich heute nur die Frontpage machen muss kommt mir als Aufgabe viel kleiner und total machbar vor 👍🏼👍🏼 ‎<This message was edited>
‎[31.03.25, 21:31:55] Emmanuel: ‎image omitted
‎[31.03.25, 21:32:33] Emmanuel: ‎audio omitted
[31.03.25, 21:37:44] Emmanuel: Und footer hakt ausklammern
[31.03.25, 21:49:33] Phil: ok macht sinn fix ich noch
[01.04.25, 10:22:33] Emmanuel: Hey wie schaut’s aus mit dem Briefing und Tobi
[01.04.25, 10:56:40] Phil: Tobi ist heute den ganzen Tag im Auto und Briefing mach ich heute
[01.04.25, 10:56:56] Emmanuel: Ok 👌
[01.04.25, 10:57:04] Emmanuel: Keep me uptodate
[01.04.25, 14:12:19] Phil: jo buttons sind fixed
[01.04.25, 14:12:37] Phil: footer lass ich erst mal bis du fertig bist weil das alle pages beeinflusst
‎[01.04.25, 14:27:51] Emmanuel: ‎audio omitted
[01.04.25, 15:53:22] Phil: jo PR für Footer ist raus
[01.04.25, 15:53:39] Phil: mach jetzt noch Vision Hover und dann das Briefing
[01.04.25, 15:53:43] Phil: Was soll ich da machen?
[01.04.25, 18:08:17] Phil: Yo das mit dem Hovern ist komplizierter als es sich anhört
[01.04.25, 18:08:40] Phil: Lass mal drüber quatschen bis dahin lass ichs erst mal
[01.04.25, 20:00:31] Emmanuel: ‎Missed voice call. ‎Click to call back
[01.04.25, 20:04:39] Emmanuel: ‎Missed voice call. ‎Click to call back
[01.04.25, 20:05:14] Emmanuel: Sieht sehr geil aus!!
[01.04.25, 20:05:21] Emmanuel: Nice gemacht
[01.04.25, 20:08:48] Phil: Danke Bro 😎
[01.04.25, 23:06:38] Phil: Jo Leadership coaching haben wir morgen nicht oder? ‎<This message was edited>
[01.04.25, 23:15:06] Emmanuel: Hatte sie was geschrieben
[01.04.25, 23:15:10] Emmanuel: Dachte sie meldet sich
[01.04.25, 23:15:14] Phil: Ne true
[01.04.25, 23:15:18] Phil: wir haben das verschoben
[01.04.25, 23:15:22] Phil: Wollte nur sichergehen
[01.04.25, 23:15:26] Emmanuel: Ok
[01.04.25, 23:19:19] Phil: Hast du morgen Vormittag evtl Zeit den Test mit mir zu machen? 🥹
[01.04.25, 23:23:36] Phil: Und soll ich dann noch die About Page so wie in der Beispielseite machen?
[02.04.25, 07:52:09] Emmanuel: Safe lonnne no wir machen wann hattest du Zeit
‎[02.04.25, 08:08:13] Emmanuel: ‎image omitted
[02.04.25, 08:08:37] Emmanuel: https://www.notion.so/About-page-Inspiration-1c0264124a8d80158c13e7f31c4c691c?pvs=4
[02.04.25, 08:08:46] Emmanuel: Hier wären sie bespiel
[02.04.25, 08:08:59] Emmanuel: Wir können gerne gleich callen
[02.04.25, 08:09:45] Emmanuel: Hab da verschiedene gib Bescheid
‎[02.04.25, 09:07:13] Phil: ‎image omitted
[02.04.25, 09:10:55] Emmanuel: Nice freut mich :)
[02.04.25, 09:11:18] Emmanuel: Hab noch Kleinigkeiten für die landing Page dann wären wir fertig:
[02.04.25, 09:13:04] Emmanuel: 1. Der steitenabstand vom menu burger sollte genau so sein wie bei scanlytics. Das scanlytics Logo und gibt verwendet einen margin links vermutlich und der sollte genau so sein fur de. Burger Menu, also ein margin right mit dem gleich wert wie links
‎[02.04.25, 09:13:10] Emmanuel: ‎image omitted
‎[02.04.25, 09:15:47] Emmanuel: ‎image omitted
[02.04.25, 09:16:05] Emmanuel: So das untereinander aligned
[02.04.25, 09:26:55] Phil: Oh sorry nicht gesehen
[02.04.25, 09:27:05] Phil: Mach mich jetzt erst auf den Weg zur Uni
[02.04.25, 09:27:30] Phil: Kümmer mich gleich um das
[02.04.25, 09:27:35] Phil: Nice
[02.04.25, 09:28:27] Emmanuel: Nice bis später
[02.04.25, 09:37:00] Emmanuel: Was hälts du von den buzzwords:
‎[02.04.25, 09:37:06] Emmanuel: ‎image omitted
[02.04.25, 09:41:32] Phil: AI as a Service ist auch geil
[02.04.25, 09:41:46] Phil: vielleicht auch einfacher zu verstehen für die Business Leute
[02.04.25, 11:14:35] Emmanuel: Ja stimmt
[02.04.25, 12:01:11] Emmanuel: Hey wann kannst du callen
[02.04.25, 12:01:26] Emmanuel: Wurd gleich nicht mehr available sein
[02.04.25, 12:01:32] Phil: Shit
[02.04.25, 12:01:36] Phil: bin noch unterwegs
[02.04.25, 12:01:50] Emmanuel: Aight dann morgen
[02.04.25, 12:01:54] Phil: Ok
‎[02.04.25, 15:03:24] Emmanuel: ‎audio omitted
‎[02.04.25, 15:09:14] Phil: ‎image omitted
[02.04.25, 15:09:32] Emmanuel: lol
[02.04.25, 15:09:44] Phil: hab grad selber keine Kohle
[02.04.25, 15:09:49] Phil: muss bis 6. warten
[02.04.25, 15:09:55] Phil: dann kann ich dir was schicken
[02.04.25, 15:10:06] Emmanuel: Ahh film muss bis 5ten warten lol 😂
[02.04.25, 15:10:09] Emmanuel: Fucked
[02.04.25, 15:10:15] Phil: shit
[02.04.25, 15:10:31] Phil: ja obwohl
[02.04.25, 15:10:34] Phil: 50 euro gehen
[02.04.25, 15:10:40] Phil: bin ich halt im Minus
[02.04.25, 15:11:16] Emmanuel: Ne alles gut Bro passt
[02.04.25, 15:11:32] Emmanuel: Nur weil icg verrecke muss du auch nicht verrrecken wird schon
[02.04.25, 15:11:41] Phil: haha alles gut hab noch Bar
[02.04.25, 15:12:21] Phil: hab dir geschickt
[02.04.25, 15:14:20] Emmanuel: Ehren Mann ❤️ danke
[02.04.25, 15:14:41] Phil: Kein ding
[02.04.25, 15:24:12] Phil: lol warum seid ihr nicht im Meeting
[02.04.25, 15:26:56] Emmanuel: Ahh fuck pras hat abgesagt
[02.04.25, 15:27:11] Emmanuel: Vorhin dachte er hätte es upgedated
[02.04.25, 15:28:40] Phil: lol
[02.04.25, 15:28:42] Phil: ok
[02.04.25, 15:28:45] Phil: nicht schlimm
[02.04.25, 15:29:08] Phil: Machen wir halt nen neuen Termin
‎[02.04.25, 16:10:59] Emmanuel: ‎image omitted
‎[02.04.25, 16:11:18] Emmanuel: ‎audio omitted
[02.04.25, 19:34:40] Emmanuel: ‎Missed voice call. ‎Click to call back
‎[02.04.25, 20:12:07] Emmanuel: ‎image omitted
[02.04.25, 20:23:10] Phil: hahaha
‎[02.04.25, 20:23:17] Phil: ‎image omitted
[02.04.25, 20:23:23] Phil: Grüße aus Berlin
[02.04.25, 20:29:29] Emmanuel: Ohh sehr geil
[02.04.25, 20:39:39] Phil: hab dein Review reverted also bitte nicht approven
[02.04.25, 20:39:54] Phil: damit ich das da beenden kann
[02.04.25, 20:40:39] Emmanuel: Ok
[02.04.25, 21:42:07] Phil: PR ist raus
[02.04.25, 21:42:32] Phil: Korrekturen kommen morgen 😅
[02.04.25, 21:44:10] Phil: junge wie schnell bist du
[02.04.25, 21:44:17] Phil: nur mergen wenns wirklich passt
[02.04.25, 21:44:28] Phil: ansonsten branch offen lassen damit ich weiter machen kann
[02.04.25, 21:45:21] Emmanuel: Bin gerade im Bett
[02.04.25, 21:45:53] Phil: Ja dann mach halt morgen wenn du chillen willst
[02.04.25, 21:46:19] Emmanuel: Hab schon gemergt
[02.04.25, 21:46:24] Emmanuel: Wir schauen einfach
[02.04.25, 21:46:37] Phil: Ok kein ding
[02.04.25, 21:46:46] Phil: war für die Zukunft
[02.04.25, 21:49:04] Emmanuel: Passt
‎[02.04.25, 21:53:49] Emmanuel: ‎audio omitted
‎[02.04.25, 21:54:22] Emmanuel: ‎audio omitted
[03.04.25, 08:13:09] Phil: ne isses nicht
[03.04.25, 08:14:19] Phil: War nur mega kompliziert, ich versuchs jetzt zu fixen
[03.04.25, 08:14:28] Phil: Hintergrund mach ich noch blau
‎[03.04.25, 08:16:43] Phil: ‎image omitted
[03.04.25, 09:03:59] Emmanuel: Uff
[03.04.25, 09:06:21] Phil: true 😂
‎[03.04.25, 09:41:00] Phil: ‎image omitted
[03.04.25, 09:41:31] Emmanuel: Hey kannst du der Person schreiben irgendwie funktioniert das nicht
[03.04.25, 09:41:47] Emmanuel: Wie meinst du
[03.04.25, 09:42:09] Phil: du hast doch gesagt ich soll den Hintergrund anpassen
‎[03.04.25, 09:42:28] Emmanuel: ‎audio omitted
[03.04.25, 09:43:52] Phil: ok
[03.04.25, 09:43:59] Phil: mach ich
[03.04.25, 09:51:24] Phil: PR raus
[03.04.25, 09:52:36] Phil: Jo kannst du heute Abend den Test für Outlier mit mir machen?`
[03.04.25, 09:54:56] Emmanuel: Ja Safe können auch gleich
[03.04.25, 09:55:26] Phil: ok schreib dir wenn ich ready bin
[03.04.25, 10:06:02] Emmanuel: Bist du jettt ready oder wie
[03.04.25, 10:06:29] Phil: Musste noch Klo
[03.04.25, 10:27:46] Emmanuel: ‎Video call. ‎17 sec
‎[03.04.25, 10:46:05] Phil: ‎image omitted
[03.04.25, 10:47:51] Phil: sag wenn du ready bist
[03.04.25, 10:47:58] Emmanuel: Wie
[03.04.25, 10:48:22] Phil: hab ja schon einen test mit meinem Code Google account gemacht
‎[03.04.25, 10:48:35] Emmanuel: ‎audio omitted
[03.04.25, 10:48:56] Phil: hab ich ja grad probiert mit meiner normalen Email
[03.04.25, 10:49:06] Phil: auch versucht zu unconnecten
[03.04.25, 10:52:19] Phil: jo muss gleich zur Arbeit
[03.04.25, 10:52:43] Phil: aber packst du ja eig selber oder?
[03.04.25, 11:19:01] Emmanuel: Ja lass wann anders no Stress
‎[03.04.25, 22:42:44] Emmanuel: ‎image omitted
[03.04.25, 22:42:46] Emmanuel: Hab kurz selber gemacht
‎[03.04.25, 23:08:48] Emmanuel: ‎image omitted
[04.04.25, 07:50:29] Phil: Jo sieht mega aus
[04.04.25, 07:50:35] Phil: bis gleich
[04.04.25, 09:07:35] Phil: jo was geht
[04.04.25, 09:07:38] Phil: kommst du Meeting
[04.04.25, 09:45:05] Emmanuel: Sry mein Wecker hat nicht geklingelt
[04.04.25, 09:46:25] Emmanuel: Bzw Handy ist ausgegangen
[04.04.25, 09:46:53] Phil: Passiert
[04.04.25, 09:47:01] Phil: War entspannt
[04.04.25, 09:48:57] Emmanuel: Ok nice  gibst du mir ein sumup oder sollen wir noch callen
[04.04.25, 09:49:14] Phil: Können wir machen
[04.04.25, 09:49:18] Phil: bin nur noch kurz kacken
[04.04.25, 09:49:27] Emmanuel: Ok
[04.04.25, 09:56:16] Phil: ‎Video call. ‎13 min
[04.04.25, 11:15:38] Emmanuel: ‎Video call. ‎3 min
[04.04.25, 11:44:11] Emmanuel: ‎Missed voice call. ‎Click to call back
[04.04.25, 12:11:50] Phil: Jo hab mit Jonas geredet
[04.04.25, 12:11:58] Phil: bist halt jetzt auf ner Liste
[04.04.25, 12:12:10] Phil: Er entscheidet irgendwann Richtung November
‎[04.04.25, 12:16:21] Emmanuel: ‎audio omitted
[04.04.25, 12:16:49] Phil: ist leer
‎[04.04.25, 12:37:41] Emmanuel: ‎audio omitted
[04.04.25, 13:23:32] Phil: 🥲
[04.04.25, 14:00:12] Emmanuel: https://youtube.com/shorts/ak1CP5tFpHE?si=dThVuQgvmO9jct2K
[04.04.25, 14:00:25] Emmanuel: Ich will das unser bot so aussieht
[04.04.25, 15:37:58] Emmanuel: Was denkst du
[04.04.25, 15:57:10] Phil: ja man
[04.04.25, 15:57:20] Phil: am besten dass die Graphik auf Stimme reagiert
[04.04.25, 15:58:21] Emmanuel: Ja man
[04.04.25, 15:58:30] Phil: Aber dafür brauchen wir dann schon Designer
[04.04.25, 15:58:38] Phil: ich glaub wir brauchen echt einen Wenns läuft
[04.04.25, 15:58:43] Phil: macht so viel aus
[04.04.25, 15:58:57] Emmanuel: Das ist gecoded
[04.04.25, 15:59:02] Phil: Die kennen sich halt auch mit den ganzen Graphikprogrammen aus ubd können sowas machen
[04.04.25, 15:59:05] Emmanuel: Ich glaub das ist nicht kompliziert
[04.04.25, 15:59:12] Phil: ah ok crazy
[04.04.25, 15:59:19] Phil: ja gerne nächste Version
[04.04.25, 15:59:26] Emmanuel: 👌
[04.04.25, 20:31:15] Emmanuel: ‎Missed video call. ‎Click to call back
[05.04.25, 11:26:30] Phil: Jo Danke nochmal fürs Shoppen gehen mit mir
[05.04.25, 11:26:40] Phil: Bekomme so viele Komplimente ❤️
[05.04.25, 12:26:57] Emmanuel: ❤️
[05.04.25, 12:27:00] Emmanuel: Always bro
‎[05.04.25, 12:41:42] Emmanuel: ‎image omitted
[05.04.25, 12:41:49] Emmanuel: die Google crendentials
[05.04.25, 12:52:22] Phil: schau mal bei Slack
[05.04.25, 12:52:37] Phil: bei Google musst du dich über die CLI anmelden
[05.04.25, 12:52:43] Phil: da gibts keinen API key ‎<This message was edited>
[05.04.25, 12:53:23] Emmanuel: ‎This message was deleted.
‎[05.04.25, 12:53:57] Emmanuel: ‎audio omitted
[05.04.25, 12:55:50] Phil: hier ist die anleitung
Text-to-Speech-Clientbibliotheken  |  Cloud Text-to-Speech API  |  Google Cloud https://cloud.google.com/text-to-speech/docs/libraries?hl=de#client-libraries-install-nodejs
[05.04.25, 12:56:26] Phil: Musst dich mit gcloud init anmelden
[06.04.25, 16:03:36] Emmanuel: https://vm.tiktok.com/ZNdLngLW5/
‎[06.04.25, 16:03:55] Emmanuel: ‎audio omitted
‎[06.04.25, 16:18:21] Emmanuel: ‎audio omitted
[06.04.25, 16:18:30] Phil: digga wtf 😂
[06.04.25, 16:18:42] Phil: Kanns leider nicht anschaen hab kein Tiktok
[06.04.25, 16:18:49] Phil: Aber ja tiktok halt 😂
‎[06.04.25, 16:19:07] Emmanuel: ‎audio omitted
‎[06.04.25, 16:19:11] Emmanuel: ‎audio omitted
[06.04.25, 16:44:33] Phil: lol
[06.04.25, 16:44:38] Phil: 😂😂😂
‎[06.04.25, 23:43:20] Emmanuel: zick zack.mp3 ‎document omitted
[06.04.25, 23:43:25] Emmanuel: Was denkst du
[07.04.25, 14:27:27] Emmanuel: Madical Reporting Assistant ‎<This message was edited>
[07.04.25, 14:31:53] Emmanuel: Talk-to-Report AI Assistant
[07.04.25, 14:38:51] Emmanuel: Conversational AI Assistant
[07.04.25, 14:41:51] Phil: was geht
[07.04.25, 14:41:54] Phil: wo bist
[07.04.25, 14:45:26] Emmanuel: Lu
[08.04.25, 02:20:33] Emmanuel: https://github.com/nextauthjs/next-auth/issues/9436
‎[08.04.25, 02:21:33] Emmanuel: ‎audio omitted
[08.04.25, 08:18:48] Emmanuel: ‎Voice call. ‎12 min
[08.04.25, 09:15:40] Phil: Jo was ist das Passwort fürs Ipad?
[08.04.25, 09:47:10] Emmanuel: 222111
[08.04.25, 10:48:46] Phil: Variable mit „Public_“ prefixen und von $env/dynamic/public importieren
[08.04.25, 10:48:49] Phil: Lauta Luca
[08.04.25, 10:49:25] Emmanuel: Ok kannst du machen
‎[08.04.25, 10:49:52] Phil: ‎audio omitted
‎[08.04.25, 10:50:02] Phil: ‎audio omitted
[08.04.25, 10:50:36] Emmanuel: ‎Missed voice call. ‎Click to call back
[08.04.25, 10:55:37] Phil: Luca sagt macht kein Sinn wenn ich kein Javascript kann
[08.04.25, 10:57:04] Emmanuel: Film
[08.04.25, 10:57:39] Phil: Lass das nächste mal besser aufteilen
[08.04.25, 10:58:00] Phil: Einer macht Backend der andere Frontend
[08.04.25, 10:58:06] Phil: nicht einer alles und der andere Cleanup
[08.04.25, 11:12:16] Emmanuel: Bro was gibt’s da aufzuteilen wenn du das nicht kannst
[08.04.25, 11:12:29] Emmanuel: Es einfach nur mehr kopffick
[08.04.25, 11:12:59] Emmanuel: Ist nicht böse gemeint, aber selbst reposiveness war unnötig lang
[08.04.25, 11:15:57] Emmanuel: Diese Aussage finde ich leicht nervig! Vorallem wenn du nicht aus dem Bereich kommst das von dir zu erwarten das hinzukriegen
[08.04.25, 11:16:45] Emmanuel: Wir mussten das schon auf eine page reduzieren deine task und jetzt  willst du einen kompletten Bereich abdeck, ist schon viel
[08.04.25, 11:17:55] Phil: Arbeitsteilung ist doch key das hinzukriegen
[08.04.25, 11:18:11] Phil: ja mit Python für mich kein Problem
[08.04.25, 11:18:32] Emmanuel: Bro dann mach das
[08.04.25, 11:18:35] Emmanuel: Mit den env einfach ‎<This message was edited>
[08.04.25, 11:18:45] Emmanuel: Ich hab doch Luca gesagt er soll dir es erklären ‎<This message was edited>
[08.04.25, 11:18:54] Emmanuel: Und du sagst zu mir du kannst kein JavaScript
[08.04.25, 11:19:02] Emmanuel: Ich versuche Aufgaben zu verteilen
[08.04.25, 11:19:38] Emmanuel: Aber du lehnst ab oder bist überfordert was soll ich machen
[08.04.25, 11:22:08] Phil: Ja ich check das halt einfach nicht
[08.04.25, 11:22:50] Emmanuel: Ja dann Bro dann gib nicht diese Kommentare und tuh nicht so als ob ich keine Aufgaben verteilen mochte
[08.04.25, 11:23:07] Phil: sag ich doch gar nicht
[08.04.25, 11:23:24] Phil: ich teil nur meine Learning experience
[08.04.25, 11:23:54] Emmanuel: Safe kein Problem, aber es liegt nicht an der Art der Verteilung sondern an ein begrenztes know how
[08.04.25, 11:24:24] Phil: Ich hab doch know how in Python
[08.04.25, 11:25:31] Emmanuel: Aber es hat nicht mit den Sprachen zu tun. Die Konzepte sind gleich 
Wenn ich JavaScript kann, braucht man 2 Wochen um das gleiche nochmal für python zu können ‎<This message was edited>
‎[08.04.25, 11:29:37] Emmanuel: ‎audio omitted
[08.04.25, 19:40:04] Phil: p.gallaschik@gmail.com
[08.04.25, 19:40:07] Phil: EH%mc*74!j@37}q
[08.04.25, 19:40:12] Phil: fly.io
[08.04.25, 19:47:23] Phil: jo ich hab die .env file gar nicht von dir weil die in .gitignore ist
[08.04.25, 19:47:50] Phil: schick mal bitte dann mach ich das
[08.04.25, 20:03:33] Emmanuel: SECRET_OPENAIKEY = "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"
[08.04.25, 20:18:59] Phil: ist drin
[08.04.25, 20:19:16] Phil: aber bekomm nen Fehler bei fly deploy
[08.04.25, 20:19:26] Phil: 8.769 Error: The OPENAI_API_KEY environment variable is missing or empty; either provide it, or instantiate the OpenAI client with an apiKey option, like new OpenAI({ apiKey: 'My API Key' }).
8.769     at new OpenAI (file:///app/node_modules/openai/index.mjs:45:19)
8.769     at file:///app/.svelte-kit/output/server/entries/endpoints/api/audiobot/_server.js:4:16
8.769     at ModuleJob.run (node:internal/modules/esm/module_job:271:25)
8.769     at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:578:26)
8.769     at async analyse (file:///app/node_modules/@sveltejs/kit/src/core/postbuild/analyse.js:104:62)
8.769     at async MessagePort.<anonymous> (file:///app/node_modules/@sveltejs/kit/src/utils/fork.js:23:16)
8.769 
8.769 Node.js v22.14.0
------
Error: failed to fetch an image or build from source: error building: failed to solve: process "/bin/sh -c npm run build" did not complete successfully: exit code: 1
[08.04.25, 20:20:07] Phil: mach
[08.04.25, 20:20:10] Phil: 4.587 1097:       height: auto;
4.587 1098:       margin-top: 20px;
4.587 6:17:06 PM [vite-plugin-svelte] src/routes/Technology/+page.svelte:1101:2 Unused CSS selector ".mainLeftContentSection"
4.587 https://svelte.dev/e/css_unused_selector
4.587 1099:     }
4.587 1100:     
4.587 1101:     .mainLeftContentSection {
4.587                                  ^
4.587 1102:       height: auto;
4.587 1103:     }
4.587 6:17:06 PM [vite-plugin-svelte] src/routes/Tests/+page.svelte:39:28 State referenced in its own scope will never update. Did you mean to reference it inside a closure?
4.587 https://svelte.dev/e/state_referenced_locally
4.587 37:   }
4.587 38: 
4.587 39:   console.log('Audio Text:', text);
4.587                                      ^
4.587 40: </script>
4.587 41: 
4.587 6:17:06 PM [vite-plugin-svelte] src/routes/Tests/+page.svelte:81:2 Unused CSS selector ".testArea"
4.587 https://svelte.dev/e/css_unused_selector
4.587 79: 
4.587 80: 
4.587 81:     .testArea {
4.587                  ^
4.587 82:       height: 50%;
4.587 83:       width: 100%;
4.587 6:17:06 PM [vite-plugin-svelte] src/routes/Tests/+page.svelte:87:2 Unused CSS selector "textarea"
4.587 https://svelte.dev/e/css_unused_selector
4.587 85:     }
4.587 86: 
4.587 87:     textarea {
4.587                 ^
4.587 88:       width: 100%;
4.587 89:       height: 99%;
4.587 6:17:06 PM [vite-plugin-svelte] src/routes/Vision/+page.svelte:119:6 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
4.587 https://svelte.dev/e/a11y_click_events_have_key_events
4.587 117:           </div>
4.587 118:           <div class="pinLayerHeaderCloseBtn">
4.587 119:             <p class="closebtn" on:click={() =>  handlePinState("america")}>x</p>
4.587                                                                                       ^
4.587 120:           </div>
4.587 121:         </div>
4.587 6:17:06 PM [vite-plugin-svelte] src/routes/Vision/+page.svelte:119:6 Non-interactive element `<p>` should not be assigned mouse or keyboard event listeners
4.587 https://svelte.dev/e/a11y_no_noninteractive_element_interactions
4.587 117:           </div>
4.587 118:           <div class="pinLayerHeaderCloseBtn">
4.587 119:             <p class="closebtn" on:click={() =>  handlePinState("america")}>x</p>
4.587                                                                                       ^
4.587 120:           </div>
4.587 121:         </div>
4.587 6:17:06 PM [vite-plugin-svelte] src/routes/Vision/+page.svelte:153:6 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
4.587 https://svelte.dev/e/a11y_click_events_have_key_events
4.587 151:           </div>
4.587 152:           <div class="pinLayerHeaderCloseBtn">
4.587 153:             <p class="closebtn" on:click={() =>  handlePinState("brazil")}>x</p>
4.587                                                                                      ^
4.587 154:           </div>
4.587 155:         </div>
4.587 6:17:06 PM [vite-plugin-svelte] src/routes/Vision/+page.svelte:153:6 Non-interactive element `<p>` should not be assigned mouse or keyboard event listeners
4.587 https://svelte.dev/e/a11y_no_noninteractive_element_interactions
4.587 151:           </div>
4.587 152:           <div class="pinLayerHeaderCloseBtn">
4.587 153:             <p class="closebtn" on:click={() =>  handlePinState("brazil")}>x</p>
4.587                                                                                      ^
4.587 154:           </div>
4.587 155:         </div>
4.587 6:17:06 PM [vite-plugin-svelte] src/routes/Vision/+page.svelte:188:6 Visible, non-interactive elements with a click event must be accompanied by a keyboard event handler. Consider whether an interactive element such as `<button type="button">` or `<a>` might be more appropriate
4.587 https://svelte.dev/e/a11y_click_events_have_key_events
